name,sex,frequency,year
Jennifer,F,46159,1970
Lisa,F,38965,1970
Kimberly,F,34138,1970
Michelle,F,34050,1970
Amy,F,25211,1970
Angela,F,24928,1970
Melissa,F,23742,1970
Tammy,F,19586,1970
Mary,F,19208,1970
Tracy,F,18468,1970
Julie,F,17161,1970
Karen,F,16703,1970
Laura,F,16495,1970
Christine,F,16061,1970
Susan,F,15738,1970
Dawn,F,15681,1970
Stephanie,F,15393,1970
Elizabeth,F,15119,1970
Heather,F,14671,1970
Kelly,F,14612,1970
Tina,F,13863,1970
Shannon,F,13548,1970
Lori,F,13445,1970
Patricia,F,13406,1970
Cynthia,F,12923,1970
Pamela,F,12911,1970
Sandra,F,11244,1970
Wendy,F,11099,1970
Rebecca,F,10857,1970
Nicole,F,10689,1970
Michele,F,10096,1970
Donna,F,9969,1970
Deborah,F,9852,1970
Teresa,F,9607,1970
Christina,F,9587,1970
Denise,F,9344,1970
Sharon,F,9174,1970
Linda,F,8733,1970
Maria,F,8672,1970
Brenda,F,8335,1970
Barbara,F,8026,1970
Stacy,F,7774,1970
Andrea,F,7707,1970
Cheryl,F,7441,1970
Kathleen,F,7409,1970
Rhonda,F,7380,1970
Debra,F,7200,1970
Stacey,F,7154,1970
Tonya,F,7139,1970
Nancy,F,7064,1970
Robin,F,7002,1970
Jill,F,6807,1970
Theresa,F,6412,1970
Dana,F,6408,1970
Tracey,F,6230,1970
Monica,F,6185,1970
Paula,F,6054,1970
Rachel,F,6030,1970
Catherine,F,6009,1970
Sherry,F,5915,1970
Gina,F,5877,1970
Ann,F,5735,1970
Kristin,F,5636,1970
Leslie,F,5621,1970
Sarah,F,5621,1970
Jacqueline,F,5579,1970
Katherine,F,5444,1970
Renee,F,5374,1970
Tara,F,5331,1970
Diane,F,5186,1970
Carol,F,5063,1970
Cindy,F,5049,1970
Carrie,F,4976,1970
Holly,F,4941,1970
Sheila,F,4937,1970
Tanya,F,4864,1970
Kathy,F,4797,1970
Kim,F,4727,1970
Tamara,F,4721,1970
Margaret,F,4705,1970
Heidi,F,4644,1970
Kristen,F,4603,1970
April,F,4602,1970
Carolyn,F,4521,1970
Victoria,F,4459,1970
Regina,F,4433,1970
Suzanne,F,4426,1970
Laurie,F,4391,1970
Diana,F,4376,1970
Deanna,F,4331,1970
Melanie,F,4331,1970
Beth,F,4246,1970
Melinda,F,4225,1970
Carla,F,4213,1970
Jodi,F,4184,1970
Janet,F,4157,1970
Valerie,F,4133,1970
Jessica,F,4023,1970
Tiffany,F,4001,1970
Traci,F,3854,1970
Crystal,F,3819,1970
Anna,F,3794,1970
Shelly,F,3751,1970
Kathryn,F,3718,1970
Christy,F,3714,1970
Yolanda,F,3591,1970
Sabrina,F,3568,1970
Amanda,F,3551,1970
Kristine,F,3533,1970
Veronica,F,3491,1970
Erin,F,3483,1970
Anne,F,3439,1970
Terri,F,3402,1970
Danielle,F,3374,1970
Kelli,F,3331,1970
Colleen,F,3327,1970
Connie,F,3324,1970
Alicia,F,3317,1970
Lynn,F,3263,1970
Jamie,F,3200,1970
Julia,F,3180,1970
Sherri,F,3165,1970
Kristi,F,3148,1970
Tricia,F,3134,1970
Kristina,F,3126,1970
Sara,F,3061,1970
Anita,F,2895,1970
Annette,F,2890,1970
Erica,F,2794,1970
Bonnie,F,2748,1970
Sonya,F,2740,1970
Wanda,F,2717,1970
Allison,F,2629,1970
Cassandra,F,2604,1970
Vicki,F,2603,1970
Krista,F,2589,1970
Cathy,F,2585,1970
Vanessa,F,2579,1970
Felicia,F,2540,1970
Sheri,F,2400,1970
Yvonne,F,2374,1970
Natalie,F,2372,1970
Martha,F,2369,1970
Shelley,F,2352,1970
Janice,F,2332,1970
Virginia,F,2329,1970
Tracie,F,2327,1970
Debbie,F,2324,1970
Samantha,F,2301,1970
Beverly,F,2249,1970
Katrina,F,2216,1970
Carmen,F,2205,1970
Jody,F,2201,1970
Marie,F,2187,1970
Darlene,F,2176,1970
Toni,F,2165,1970
Penny,F,2145,1970
Kellie,F,2130,1970
Jean,F,2110,1970
Monique,F,2098,1970
Becky,F,2071,1970
Yvette,F,2051,1970
Gloria,F,2042,1970
Joyce,F,2031,1970
Stacie,F,2019,1970
Charlotte,F,1991,1970
Charlene,F,1983,1970
Shawn,F,1971,1970
Betty,F,1967,1970
Joanne,F,1953,1970
Erika,F,1942,1970
Trina,F,1933,1970
Emily,F,1932,1970
Peggy,F,1900,1970
Tammie,F,1882,1970
Kerry,F,1833,1970
Judy,F,1828,1970
Ruth,F,1818,1970
Bridget,F,1816,1970
Dorothy,F,1801,1970
Kristie,F,1792,1970
Maureen,F,1791,1970
Rose,F,1777,1970
Joy,F,1775,1970
Kimberley,F,1770,1970
Sonia,F,1768,1970
Alison,F,1765,1970
Ellen,F,1758,1970
Sylvia,F,1728,1970
Jeanette,F,1725,1970
Helen,F,1715,1970
Leah,F,1672,1970
Judith,F,1670,1970
Kari,F,1667,1970
Vickie,F,1647,1970
Karla,F,1633,1970
Kristy,F,1632,1970
Shirley,F,1629,1970
Frances,F,1628,1970
Alice,F,1621,1970
Belinda,F,1620,1970
Jane,F,1599,1970
Rita,F,1588,1970
Jeanne,F,1583,1970
Joann,F,1556,1970
Tami,F,1556,1970
Dina,F,1547,1970
Dena,F,1541,1970
Kara,F,1502,1970
Shawna,F,1500,1970
Robyn,F,1499,1970
Kelley,F,1497,1970
Leigh,F,1485,1970
Sheryl,F,1471,1970
Raquel,F,1468,1970
Evelyn,F,1466,1970
Elaine,F,1438,1970
Norma,F,1433,1970
Tonia,F,1429,1970
Candace,F,1426,1970
Gail,F,1426,1970
Rosa,F,1422,1970
Kerri,F,1416,1970
Jenny,F,1410,1970
Marsha,F,1384,1970
Ginger,F,1381,1970
Aimee,F,1376,1970
Roberta,F,1376,1970
Caroline,F,1375,1970
Jackie,F,1369,1970
Loretta,F,1366,1970
Deana,F,1363,1970
Meredith,F,1355,1970
Ronda,F,1355,1970
Lara,F,1331,1970
Joanna,F,1329,1970
Lauren,F,1312,1970
Christie,F,1311,1970
Sonja,F,1310,1970
Audrey,F,1309,1970
Joan,F,1307,1970
Angie,F,1296,1970
Amber,F,1290,1970
Marcia,F,1285,1970
Eileen,F,1282,1970
Megan,F,1268,1970
Juanita,F,1264,1970
Marilyn,F,1256,1970
Sally,F,1250,1970
Gretchen,F,1246,1970
Sandy,F,1246,1970
Claudia,F,1224,1970
Bobbie,F,1220,1970
Gwendolyn,F,1220,1970
Christa,F,1213,1970
Lora,F,1202,1970
Shari,F,1200,1970
Molly,F,1193,1970
Shelia,F,1192,1970
Cheri,F,1180,1970
Rochelle,F,1180,1970
Melody,F,1177,1970
Lorraine,F,1160,1970
Lynette,F,1158,1970
Alisa,F,1154,1970
Kendra,F,1152,1970
Misty,F,1151,1970
Staci,F,1147,1970
Terry,F,1113,1970
Angel,F,1109,1970
Billie,F,1104,1970
Jo,F,1101,1970
Marla,F,1091,1970
Teri,F,1075,1970
Irene,F,1070,1970
Stefanie,F,1068,1970
Jodie,F,1053,1970
Karin,F,1050,1970
Tabitha,F,1050,1970
Ana,F,1046,1970
Janine,F,1046,1970
Candy,F,1044,1970
Nichole,F,1042,1970
Kirsten,F,1033,1970
Jana,F,1025,1970
Eva,F,1024,1970
Candice,F,1023,1970
Antoinette,F,1020,1970
Roxanne,F,1011,1970
Adrienne,F,1003,1970
Cherie,F,1002,1970
Dianna,F,999,1970
Shana,F,992,1970
Rachelle,F,988,1970
Hope,F,987,1970
Dianne,F,976,1970
Leticia,F,973,1970
Lee,F,970,1970
Darla,F,965,1970
Jacquelyn,F,950,1970
Angelique,F,941,1970
Latonya,F,941,1970
Trisha,F,938,1970
Priscilla,F,932,1970
Ashley,F,931,1970
Sherrie,F,925,1970
Lydia,F,924,1970
Angelia,F,920,1970
Patrice,F,914,1970
Ramona,F,914,1970
Marisol,F,896,1970
Glenda,F,893,1970
Rachael,F,886,1970
Christi,F,878,1970
Doris,F,863,1970
Marlene,F,861,1970
Audra,F,860,1970
Tammi,F,853,1970
Lynda,F,849,1970
Wendi,F,844,1970
Dionne,F,835,1970
Lorie,F,833,1970
Jeannie,F,829,1970
Vicky,F,829,1970
Nina,F,826,1970
Camille,F,822,1970
Paulette,F,806,1970
Constance,F,805,1970
Keri,F,802,1970
Jeanine,F,801,1970
Rosemary,F,796,1970
Bobbi,F,790,1970
Desiree,F,787,1970
Courtney,F,783,1970
Lillian,F,782,1970
Lana,F,780,1970
Shauna,F,778,1970
Vivian,F,778,1970
Grace,F,777,1970
Bernadette,F,775,1970
Lesley,F,768,1970
Phyllis,F,767,1970
Paige,F,762,1970
Brooke,F,759,1970
Shanna,F,759,1970
Marcy,F,743,1970
Jenifer,F,737,1970
Esther,F,726,1970
Arlene,F,717,1970
Cara,F,717,1970
Natasha,F,717,1970
Jeannette,F,714,1970
Doreen,F,708,1970
Mindy,F,706,1970
