County FIPS	County Name	Industry	Industry Title	Year	Average Employment	Total Wages	Average Weekly Wages	Average Annual Wages	
000	Statewide Total	00	All Industries	1975	5837283	65679632451	216.38	11252	
000	Statewide Total	00	All Industries	1976	5842021	69624487626	229.19	11918	
000	Statewide Total	00	All Industries	1977	5918521	74687237156	242.68	12619	
000	Statewide Total	00	All Industries	1978	6947626	93129229209	257.78	13404	
000	Statewide Total	00	All Industries	1979	7100842	101723121739	275.49	14326	
000	Statewide Total	00	All Industries	1980	7113414	111575198153	301.64	15685	
000	Statewide Total	00	All Industries	1981	7191680	123199329443	329.44	17131	
000	Statewide Total	00	All Industries	1982	7161186	132719248113	356.41	18533	
000	Statewide Total	00	All Industries	1983	7214082	141936528397	378.36	19675	
000	Statewide Total	00	All Industries	1984	7467957	154970347559	399.06	20751	
000	Statewide Total	00	All Industries	1985	7647318	167478764916	421.16	21900	
000	Statewide Total	00	All Industries	1986	7802396	181023676501	446.17	23201	
000	Statewide Total	00	All Industries	1987	7951474	195885126527	473.75	24635	
000	Statewide Total	00	All Industries	1988	8073953	212722115653	506.67	26347	
000	Statewide Total	00	All Industries	1989	8132344	222034163754	525.05	27303	
000	Statewide Total	00	All Industries	1990	8098944	233812607022	555.18	28870	
000	Statewide Total	00	All Industries	1991	7771418	233253770689	577.20	30014	
000	Statewide Total	00	All Industries	1992	7621738	247007200299	623.24	32408	
000	Statewide Total	00	All Industries	1993	7631479	251217055750	633.05	32919	
000	Statewide Total	00	All Industries	1994	7697383	257394182725	643.06	33439	
000	Statewide Total	00	All Industries	1995	7737431	270312476146	671.84	34936	
000	Statewide Total	00	All Industries	1996	7793008	286907081380	708.00	36816	
000	Statewide Total	00	All Industries	1997	7902044	305299946329	742.99	38636	
000	Statewide Total	00	All Industries	1998	8092384	329399741042	782.79	40705	
000	Statewide Total	00	All Industries	1999	8292305	349760831890	811.13	42179	
000	Statewide Total	00	All Industries	2000	8471190	384230525920	872.26	45357	
000	Statewide Total	01	Agriculture, Mining & Unclassified	1975	39225	408274868	200.17	10409	
000	Statewide Total	01	Agriculture, Mining & Unclassified	1976	37190	398452671	206.04	10714	
000	Statewide Total	01	Agriculture, Mining & Unclassified	1977	39225	438470871	214.97	11178	
000	Statewide Total	01	Agriculture, Mining & Unclassified	1978	50254	560694116	214.56	11157	
000	Statewide Total	01	Agriculture, Mining & Unclassified	1979	62983	729754434	222.82	11587	
000	Statewide Total	01	Agriculture, Mining & Unclassified	1980	60805	788035303	249.23	12960	
000	Statewide Total	01	Agriculture, Mining & Unclassified	1981	60839	864897435	273.39	14216	
000	Statewide Total	01	Agriculture, Mining & Unclassified	1982	60845	953348827	301.31	15668	
000	Statewide Total	01	Agriculture, Mining & Unclassified	1983	63848	1019624900	307.11	15970	
000	Statewide Total	01	Agriculture, Mining & Unclassified	1984	62968	1038235212	317.08	16488	
000	Statewide Total	01	Agriculture, Mining & Unclassified	1985	60680	1026797304	325.42	16922	
000	Statewide Total	01	Agriculture, Mining & Unclassified	1986	61781	1056397487	328.83	17099	
000	Statewide Total	01	Agriculture, Mining & Unclassified	1987	65428	1187075136	348.91	18143	
000	Statewide Total	04	Manufacturing	1976	1435731	19280020280	258.24	13429	
000	Statewide Total	01	Agriculture, Mining & Unclassified	1988	65284	1278817541	376.70	19588	
000	Statewide Total	01	Agriculture, Mining & Unclassified	1989	68252	1387308012	390.89	20326	
000	Statewide Total	01	Agriculture, Mining & Unclassified	1990	62028	1279423804	396.66	20627	
000	Statewide Total	01	Agriculture, Mining & Unclassified	1991	56839	1169141785	395.57	20569	
000	Statewide Total	01	Agriculture, Mining & Unclassified	1992	61209	1321015180	415.04	21582	
000	Statewide Total	01	Agriculture, Mining & Unclassified	1993	64862	1373358505	407.18	21174	
000	Statewide Total	01	Agriculture, Mining & Unclassified	1994	59099	1275717271	415.12	21586	
000	Statewide Total	01	Agriculture, Mining & Unclassified	1995	66616	1474726361	425.73	22138	
000	Statewide Total	01	Agriculture, Mining & Unclassified	1996	73785	1708755278	445.36	23159	
000	Statewide Total	01	Agriculture, Mining & Unclassified	1997	74332	1789904722	463.08	24080	
000	Statewide Total	01	Agriculture, Mining & Unclassified	1998	73419	1788217567	468.39	24356	
000	Statewide Total	01	Agriculture, Mining & Unclassified	1999	68487	1740697196	488.78	25416	
000	Statewide Total	01	Agriculture, Mining & Unclassified	2000	76375	2013343521	506.95	26361	
